trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.18112695312597024}",25,9,-0.26611820024573696,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.17931568359471053}",25,13,21.235325259781526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17752252675876343}",35,18,-26.793423314185297,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,6,13.413450422173055,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17398982847626404}",20,12,7.707299721901107,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,6,-1.7049664047786326,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17052743088958636}",20,0,28.007081020660618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.1688221565806905}",30,19,1.1176913548683203,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1671339350148836}",25,10,27.45853545170502,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16546259566473476}",20,0,28.883570263370952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.16380796970808742}",25,12,23.295887587968554,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16216989001100654}",20,2,17.413012700170302,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16054819111089647}",20,12,17.957374382083245,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1589427091997875}",25,11,8.072231463328492,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15735328210778962}",20,9,-18.35031752957044,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.5, 'e': 0.15577974928671173}",20,3,26.218249082188986,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15422195179384462}",20,12,15.102060833983321,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15267973227590617}",30,16,25.568888936256062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1511529349531471}",30,10,34.62728536398187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
